 accuracy	 gpsAltitude	 latitude	 longitude	 pressure
10	85690063	37.97071977	-87.57428785	1002529785
10	86708252	37.97070693	-87.5743113	1002459717
9	86591431	37.97068034	-87.57434481	1002453369
8	88047974	37.97066488	-87.57436833	1002448975
8	88467529	37.9706579	-87.5743842	1002426514
8	87357056	37.97064759	-87.57440133	1002441650
6	86447083	37.97063633	-87.57441945	1002437012
6	85818237	37.97062607	-87.57443794	1002435791
6	85628540	37.9706188	-87.57445403	1002412109
5	83971130	37.97061133	-87.57447657	1002399902
5	84280762	37.9706037	-87.57449343	1002392090
5	84778625	37.97059648	-87.57450316	1002367432
5	85161072	37.97059356	-87.57452009	1002374512
5	85575439	37.97059148	-87.57453379	1002392578
6	84563904	37.97058882	-87.57454459	1002401855
6	84029907	37.97058616	-87.57455817	1002387207
6	85511353	37.97058695	-87.57457037	1002386475
6	85467346	37.97059192	-87.57458607	1002389648
6	84445618	37.9705961	-87.5745979	1002383301
6	85202698	37.97060257	-87.57461134	1002403076
6	84576050	37.97061328	-87.57462456	1002394531
6	84086365	37.97062387	-87.57463475	1002402344
5	83550964	37.97063065	-87.57464269	1002395264
5	84080261	37.97063466	-87.57464856	1002356201
5	84612305	37.97063727	-87.57465434	1002412598
4	84985229	37.97063699	-87.57467002	1002416260
4	85030945	37.970637	-87.574678	1002420654
4	85165283	37.97063741	-87.57468228	1002452881
4	85586914	37.97063808	-87.57468422	1002443115
5	85681458	37.97063784	-87.57468445	1002431885
6	86896362	37.97064926	-87.57468496	1002414551
5	86893799	37.97066154	-87.5746846	1002401367
5	87374512	37.97066964	-87.57468325	1002371094
5	88514099	37.9706765	-87.57467873	1002364258
4	90748535	37.97068059	-87.57467197	1002418701
4	88497681	37.97067968	-87.57466304	1002388672
5	88283386	37.97067685	-87.57465527	1002416748
6	87838196	37.97067912	-87.57464938	1002349121
5	87076111	37.97068164	-87.57464159	1002315674
5	85624878	37.9706898	-87.57463158	1002330322
5	87395691	37.97069835	-87.57462142	1002289795
5	88360229	37.97070483	-87.57461417	1002302979
5	88992065	37.9707106	-87.57460265	1002311768
5	90172241	37.97071839	-87.57458907	1002310059
5	90930725	37.97072547	-87.57457556	1002337646
5	90936340	37.97073103	-87.57456401	1002288818
5	92626282	37.97074878	-87.57453082	1002260742
6	91968750	37.9707564	-87.57450899	1002223877
6	92128906	37.9707617	-87.57448572	1002208008
6	93921265	37.97076648	-87.5744669	1002222168
6	95199951	37.97077134	-87.57445293	1002214111
6	96190796	37.97077699	-87.5744408	1002273438
6	95486145	37.97078388	-87.57442867	1002288574
6	93979126	37.97079074	-87.574415	1002254395
6	95176392	37.97079979	-87.5744024	1002284668
6	94301819	37.97081296	-87.57438913	1002272217
9	93599487	37.97083089	-87.57437479	1002296143
9	91912170	37.97085116	-87.57435383	1002222168
8	91851624	37.97087018	-87.57433262	1002225830
6	91250244	37.97088268	-87.57431798	1002165283
6	93124512	37.97089454	-87.57430336	1002182861
5	93287292	37.97090507	-87.57428896	1002162842
5	92314209	37.97091468	-87.57427346	1002188477
4	91736084	37.97092091	-87.57426055	1002153076
4	91900818	37.9709253	-87.57424875	1002215576
3	90927246	37.9709335	-87.5742338	1002197998
3	91856079	37.9709429	-87.57421638	1002205322
3	91518738	37.97095091	-87.57420244	1002151611
3	91372681	37.97095783	-87.57419067	1002148682
3	90558105	37.97096428	-87.57417926	1002171631
3	89134033	37.97097317	-87.57416721	1002128906
3	88977478	37.97098385	-87.5741567	1002138428
3	89103394	37.97099347	-87.57414768	1002120605
3	88891541	37.97100177	-87.57413661	1002146973
3	89499939	37.97100928	-87.57411895	1002083252
3	89870239	37.97101522	-87.57409995	1002055176
3	90535278	37.97101836	-87.57408142	1002052490
3	89967651	37.97102277	-87.57406171	1002024902
3	89105835	37.97102826	-87.57404345	1002041504
4	89615540	37.97103161	-87.57402666	1002030518
3	90526794	37.97102618	-87.57400987	1002041504
3	90398132	37.97101355	-87.57399669	1002010986
3	89290833	37.97099287	-87.57399148	1002033203
3	89793579	37.97097396	-87.57399011	1001994141
3	89128296	37.97095809	-87.57399213	1002029785
3	89182251	37.97094081	-87.57399527	1001982666
3	88784424	37.97092587	-87.57400273	1001982910
3	88298584	37.9709111	-87.57401376	1002046875
3	87721130	37.97089983	-87.57402772	1002001221
3	87769104	37.97089059	-87.57404187	1002022705
3	88048279	37.9708798	-87.57405767	1001976074
3	87129639	37.97086811	-87.57407336	1001975342
3	86616516	37.97085765	-87.57408686	1001943359
3	86220276	37.97084876	-87.57410121	1001968506
3	86592041	37.97084258	-87.57411616	1001935303
3	86199829	37.97083628	-87.57413005	1001901123
3	86857300	37.97082885	-87.57414516	1001871582
3	86915710	37.97082148	-87.57415817	1001836426
3	87329834	37.97081317	-87.57417214	1001888184
3	87369751	37.97080292	-87.57418784	1001850830
3	87181702	37.9707947	-87.574201	1001897217
3	86809082	37.97078585	-87.57421581	1001915771
3	86863525	37.97077767	-87.5742327	1001893799
3	86767944	37.97077158	-87.57424875	1001918213
3	86823364	37.97076557	-87.57426457	1001906982
3	86799683	37.97075998	-87.57427937	1001885254
3	86672363	37.97075498	-87.57429282	1001893066
3	86769714	37.97075129	-87.57430689	1001879150
3	87102112	37.97075012	-87.57431922	1001898438
3	87857178	37.9707525	-87.5743328	1001916016
3	88489929	37.9707566	-87.57434777	1001885254
3	88538391	37.97076053	-87.57436218	1001870850
3	88554443	37.97076299	-87.57437696	1001879150
3	88559875	37.97076296	-87.57439227	1001867432
3	88263855	37.97076185	-87.57440631	1001861572
3	87978638	37.97075912	-87.57442364	1001865967
3	88211853	37.97075468	-87.57444404	1001873779
3	88369019	37.97074875	-87.57446437	1001866211
3	88173828	37.97074339	-87.5744809	1001870850
3	88269226	37.9707379	-87.5744951	1001864990
3	87503418	37.97072792	-87.57452226	1001892578
3	88843872	37.97072386	-87.57453729	1001879395
3	88839355	37.97071885	-87.57455323	1001915283
3	88827332	37.97071104	-87.57456896	1001896484
3	88409241	37.97070175	-87.57458176	1001966309
3	88611755	37.97069154	-87.57459621	1002000977
3	88291077	37.97068353	-87.57461078	1002060791
3	87880554	37.97067756	-87.57462508	1002005127
3	86999023	37.97066977	-87.57464082	1002023193
3	87146301	37.97066194	-87.57465485	1002048828
3	86854248	37.97065298	-87.57466751	1002018555
3	85843628	37.97064344	-87.57467619	1002040039
4	85353333	37.97063387	-87.57468348	1002029785
5	85182434	37.9706241	-87.57468971	1002020996
5	84416260	37.97061372	-87.57469205	1002015137
4	83580322	37.9705981	-87.57469101	1002000732
4	84540405	37.97058541	-87.57468659	1002027588
4	84577209	37.97057783	-87.57468031	1001971191
4	85507568	37.970573	-87.57467029	1002026367
4	85068298	37.97057145	-87.57466052	1002051758
4	85030396	37.97057341	-87.57465144	1002053955
3	85689148	37.97057651	-87.57463599	1002073242
